phecode,description,phecode_exclude_range,sex,rollup,leaf,groupnum,group,color,phecode_exclude_description,n_cases,n_controls
578.9,Hemorrhage of gastrointestinal tract,578-579.99,Both,1,1,10,digestive,chartreuse4, Other diseases of digestive system,5322,385087
579,Other symptoms involving abdomen and pelvis,578-579.99,Both,1,0,10,digestive,chartreuse4, Other diseases of digestive system,1553,385087
579.2,Splenomegaly,578-579.99,Both,1,1,10,digestive,chartreuse4, Other diseases of digestive system,426,385087
579.8,Nonspecific abnormal findings in stool contents,578-579.99,Both,0,1,10,digestive,chartreuse4, Other diseases of digestive system,1659,385087
580,Nephritis; nephrosis; renal sclerosis,580-590.99,Both,1,0,11,genitourinary,black, diseases of kidney and ureters,1559,397521
580.1,Glomerulonephritis,580-590.99,Both,1,0,11,genitourinary,black, diseases of kidney and ureters,1072,397521
580.11,Proliferative glomerulonephritis,580-590.99,Both,1,1,11,genitourinary,black, diseases of kidney and ureters,79,397521
580.12,Non-proliferative glomerulonephritis,580-590.99,Both,1,1,11,genitourinary,black, diseases of kidney and ureters,136,397521
580.14,"Chronic glomerulonephritis, NOS",580-590.99,Both,1,1,11,genitourinary,black, diseases of kidney and ureters,884,397521
580.2,Nephrotic syndrome without mention of glomerulonephritis,580-590.99,Both,1,1,11,genitourinary,black, diseases of kidney and ureters,470,397521
580.3,Nephritis and nephropathy without mention of glomerulonephritis,580-590.99,Both,1,0,11,genitourinary,black, diseases of kidney and ureters,254,397521
580.32,Nephritis and nephropathy with pathological lesion,580-590.99,Both,1,1,11,genitourinary,black, diseases of kidney and ureters,254,397521
580.4,"Renal sclerosis, NOS",580-590.99,Both,1,1,11,genitourinary,black, diseases of kidney and ureters,2,397521
585,Renal failure,580-590.99,Both,1,0,11,genitourinary,black, diseases of kidney and ureters,7054,397521
585.1,Acute renal failure,580-590.99,Both,1,1,11,genitourinary,black, diseases of kidney and ureters,4561,397521
585.2,Renal failure NOS,580-590.99,Both,1,1,11,genitourinary,black, diseases of kidney and ureters,1475,397521
585.3,Chronic renal failure [CKD],580-590.99,Both,1,0,11,genitourinary,black, diseases of kidney and ureters,2669,397521
585.31,Renal dialysis,580-590.99,Both,1,1,11,genitourinary,black, diseases of kidney and ureters,497,397521
586,Other disorders of the kidney and ureters,580-590.99,Both,1,0,11,genitourinary,black, diseases of kidney and ureters,3385,397521
586.1,Anatomical abnormatilies of kidney and ureters,580-590.99,Both,1,0,11,genitourinary,black, diseases of kidney and ureters,215,397521
586.11,Small kidney,580-590.99,Both,1,1,11,genitourinary,black, diseases of kidney and ureters,180,397521
586.12,Vesicoureteral reflux,580-590.99,Both,1,1,11,genitourinary,black, diseases of kidney and ureters,38,397521
586.2,"Cyst of kidney, acquired",580-590.99,Both,1,1,11,genitourinary,black, diseases of kidney and ureters,1261,397521
586.3,Vascular disorders of kidney/hypertrophy,580-590.99,Both,1,1,11,genitourinary,black, diseases of kidney and ureters,80,397521
586.4,Stricture/obstruction of ureter,580-590.99,Both,1,1,11,genitourinary,black, diseases of kidney and ureters,915,397521
587,Kidney replaced by transpant,580-590.99,Both,1,1,11,genitourinary,black, diseases of kidney and ureters,369,397521
588,Disorders resulting from impaired renal function,580-590.99,Both,1,0,11,genitourinary,black, diseases of kidney and ureters,99,397521
588.1,Renal osteodystrophy,580-590.99,Both,1,1,11,genitourinary,black, diseases of kidney and ureters,7,397521
589,Abnormal results of function study of kidney,580-590.99,Both,1,1,11,genitourinary,black, diseases of kidney and ureters,117,397521
590,Pyelonephritis,590-593.99,Both,1,1,11,genitourinary,black, Urinary tract infections,1334,379899
591,Urinary tract infection,590-593.99,Both,1,1,11,genitourinary,black, Urinary tract infections,12522,379899
592,Cystitis and urethritis,590-593.99,Both,1,0,11,genitourinary,black, Urinary tract infections,3088,379899
592.1,Cystitis,590-593.99,Both,1,0,11,genitourinary,black, Urinary tract infections,2948,379899
592.11,Acute cystitis,590-593.99,Both,1,1,11,genitourinary,black, Urinary tract infections,138,379899
592.12,Chronic cystitis,590-593.99,Both,1,1,11,genitourinary,black, Urinary tract infections,891,379899
592.13,Chronic interstitial cystitis,590-593.99,Both,1,1,11,genitourinary,black, Urinary tract infections,249,379899
592.2,Urethritis and urethral syndrome,590-593.99,Both,1,0,11,genitourinary,black, Urinary tract infections,167,379899
592.21,Urethral syndrome,590-593.99,Both,1,1,11,genitourinary,black, Urinary tract infections,41,379899
593,Hematuria,590-593.99,Both,1,0,11,genitourinary,black, Urinary tract infections,16410,379899
594,Urinary calculus,594-595.99,Both,1,0,11,genitourinary,black, urinary calculus,6643,401001
594.1,Calculus of kidney,594-595.99,Both,1,1,11,genitourinary,black, urinary calculus,3191,401001
594.2,Calculus of lower urinary tract,594-595.99,Both,1,1,11,genitourinary,black, urinary calculus,778,401001
594.3,Calculus of ureter,594-595.99,Both,1,1,11,genitourinary,black, urinary calculus,2417,401001
594.8,Renal colic,594-595.99,Both,1,1,11,genitourinary,black, urinary calculus,2055,401001
595,Hydronephrosis,594-595.99,Both,1,1,11,genitourinary,black, urinary calculus,1953,401001
596,Other disorders of bladder,595-597.99,Both,1,0,11,genitourinary,black, other diseases of urinary system,9935,394693
596.1,Bladder neck obstruction,595-597.99,Both,1,1,11,genitourinary,black, other diseases of urinary system,1980,394693
596.5,Functional disorders of bladder,595-597.99,Both,1,1,11,genitourinary,black, other diseases of urinary system,1664,394693
597,Other disorders of urethra and urinary tract,595-597.99,Both,1,0,11,genitourinary,black, other diseases of urinary system,3999,394693
597.1,Urethral stricture (not specified as infectious),595-597.99,Both,1,1,11,genitourinary,black, other diseases of urinary system,3330,394693
597.2,Urinary complications NEC,595-597.99,Both,0,1,11,genitourinary,black, other diseases of urinary system,78,394693
598,Abnormal findings on examination of urine,598-598.99,Both,1,0,11,genitourinary,black, Nonspecific findings on examination of urine,3547,405412
598.9,Other nonspecific findings on examination of urine,598-598.99,Both,1,0,11,genitourinary,black, Nonspecific findings on examination of urine,304,405412
599,Other symptoms/disorders or the urinary system,599-599.99,Both,1,0,11,genitourinary,black, Other symptoms/disorders or the urinary system,18997,384926
599.1,Urinary obstruction,599-599.99,Both,0,1,11,genitourinary,black, Other symptoms/disorders or the urinary system,167,384926
599.2,Retention of urine,599-599.99,Both,0,1,11,genitourinary,black, Other symptoms/disorders or the urinary system,6756,384926
599.3,Dysuria,599-599.99,Both,1,1,11,genitourinary,black, Other symptoms/disorders or the urinary system,1199,384926
599.4,Urinary incontinence,599-599.99,Both,1,1,11,genitourinary,black, Other symptoms/disorders or the urinary system,8856,384926
599.5,Frequency of urination and polyuria,599-599.99,Both,1,1,11,genitourinary,black, Other symptoms/disorders or the urinary system,4037,384926
599.6,Oliguria and anuria,599-599.99,Both,1,1,11,genitourinary,black, Other symptoms/disorders or the urinary system,107,384926
599.7,Urethral discharge,599-599.99,Both,1,1,11,genitourinary,black, Other symptoms/disorders or the urinary system,36,384926
599.8,Other symptoms involving urinary system,599-599.99,Both,1,1,11,genitourinary,black, Other symptoms/disorders or the urinary system,89,384926
599.9,Other abnormality of urination,599-599.99,Both,1,1,11,genitourinary,black, Other symptoms/disorders or the urinary system,1926,384926
600,Hyperplasia of prostate,"185-187.99, 796-796.99, 600-602.99",Male,1,1,11,genitourinary,black, male genital disorders/cancer/neoplasms; elevated psa,11226,169054
601,Inflammatory diseases of prostate,"185-187.99, 796-796.99, 600-602.99",Male,1,0,11,genitourinary,black, male genital disorders/cancer/neoplasms; elevated psa,2193,169054
601.1,Prostatitis,"185-187.99, 796-796.99, 600-602.99",Male,1,0,11,genitourinary,black, male genital disorders/cancer/neoplasms; elevated psa,1581,169054
601.11,Acute prostatitis,"185-187.99, 796-796.99, 600-602.99",Male,1,1,11,genitourinary,black, male genital disorders/cancer/neoplasms; elevated psa,236,169054
601.12,Chronic prostatitis,"185-187.99, 796-796.99, 600-602.99",Male,1,1,11,genitourinary,black, male genital disorders/cancer/neoplasms; elevated psa,913,169054
601.3,Orchitis and epididymitis,"185-187.99, 796-796.99, 600-602.99",Male,1,1,11,genitourinary,black, male genital disorders/cancer/neoplasms; elevated psa,59,169054
601.4,Balanoposthitis,"185-187.99, 796-796.99, 600-602.99",Male,1,1,11,genitourinary,black, male genital disorders/cancer/neoplasms; elevated psa,287,169054
601.8,Other inflammatory disorders of male genital organs,"185-187.99, 796-796.99, 600-602.99",Male,1,1,11,genitourinary,black, male genital disorders/cancer/neoplasms; elevated psa,303,169054
602,Other disorders of prostate,"185-187.99, 796-796.99, 600-602.99",Male,1,0,11,genitourinary,black, male genital disorders/cancer/neoplasms; elevated psa,1345,169054
603,Other disorders of testis,600-609.99,Male,1,0,11,genitourinary,black, male genital disorders,2199,167878
603.1,Hydrocele,600-609.99,Male,1,1,11,genitourinary,black, male genital disorders,1345,167878
603.2,Spermatocele,600-609.99,Male,1,1,11,genitourinary,black, male genital disorders,34,167878
604,Disorders of penis,600-609.99,Male,1,0,11,genitourinary,black, male genital disorders,3420,167878
604.1,Redundant prepuce and phimosis/BXO,600-609.99,Male,1,1,11,genitourinary,black, male genital disorders,2861,167878
605,Erectile dysfunction [ED],600-609.99,Male,1,1,11,genitourinary,black, male genital disorders,280,167878
608,Other disorders of male genital organs,600-609.99,Male,1,1,11,genitourinary,black, male genital disorders,2829,167878
609,Male infertility and abnormal spermatozoa,600-609.99,Male,1,0,11,genitourinary,black, male genital disorders,233,167878
609.1,"Infertility, male",600-609.99,Male,1,0,11,genitourinary,black, male genital disorders,64,167878
609.2,Abnormal spermatozoa,600-609.99,Male,1,1,11,genitourinary,black, male genital disorders,170,167878
610,Benign mammary dysplasias,610-613.99,Female,1,0,11,genitourinary,black, nonmalignant breast conditions,2848,213970
610.1,Cystic mastopathy,610-613.99,Female,1,1,11,genitourinary,black, nonmalignant breast conditions,928,213970
610.2,Fibroadenosis of breast,610-613.99,Female,1,1,11,genitourinary,black, nonmalignant breast conditions,306,213970
610.3,Fibrosclerosis of breast,610-613.99,Female,1,1,11,genitourinary,black, nonmalignant breast conditions,302,213970
610.4,Benign neoplasm of breast,610-613.99,Female,1,1,11,genitourinary,black, nonmalignant breast conditions,1553,213970
610.8,Other specified benign mammary dysplasias,610-613.99,Female,0,1,11,genitourinary,black, nonmalignant breast conditions,696,213970
611,Abnormal findings on mammogram or breast exam,610-613.99,Both,1,0,11,genitourinary,black, nonmalignant breast conditions,1580,401718
611.1,Abnormal mammogram,610-613.99,Both,1,0,11,genitourinary,black, nonmalignant breast conditions,57,401718
611.3,Lump or mass in breast,610-613.99,Both,1,1,11,genitourinary,black, nonmalignant breast conditions,1525,401718
612,"Breast conditions, congenital or relating to hormones",610-613.99,Both,1,0,11,genitourinary,black, nonmalignant breast conditions,942,401718
612.1,Galactorrhea,610-613.99,Both,1,1,11,genitourinary,black, nonmalignant breast conditions,12,401718
612.2,Hypertrophy of breast (Gynecomastia),610-613.99,Both,1,1,11,genitourinary,black, nonmalignant breast conditions,854,401718
612.3,Congenital anomalies of breast,610-613.99,Both,1,1,11,genitourinary,black, nonmalignant breast conditions,78,401718
613,Other nonmalignant breast conditions,613-613.99,Both,1,0,11,genitourinary,black, other nonmalignant breast conditions,1984,406975
613.1,Inflammatory disease of breast,613-613.99,Both,1,1,11,genitourinary,black, other nonmalignant breast conditions,723,406975
613.5,Mastodynia,613-613.99,Both,1,1,11,genitourinary,black, other nonmalignant breast conditions,77,406975
613.7,Other signs and symptoms in breast,613-613.99,Both,1,1,11,genitourinary,black, other nonmalignant breast conditions,705,406975
613.8,Other specified disorders of breast,613-613.99,Both,1,1,11,genitourinary,black, other nonmalignant breast conditions,328,406975
613.9,Breast disorder NOS,613-613.99,Both,1,1,11,genitourinary,black, other nonmalignant breast conditions,207,406975
614,Inflammatory diseases of female pelvic organs,614-616.99,Female,1,0,11,genitourinary,black,INFLAMMATORY DISEASE OF FEMALE PELVIC ORGANS,6200,211733
614.1,"Pelvic peritoneal adhesions, female (postoperative) (postinfection)",614-616.99,Female,1,1,11,genitourinary,black,INFLAMMATORY DISEASE OF FEMALE PELVIC ORGANS,2544,211733
614.3,Pelvic inflammatory disease (PID),614-616.99,Female,1,0,11,genitourinary,black,INFLAMMATORY DISEASE OF FEMALE PELVIC ORGANS,936,211733
614.31,Acute inflammatory pelvic disease,614-616.99,Female,1,1,11,genitourinary,black,INFLAMMATORY DISEASE OF FEMALE PELVIC ORGANS,61,211733
614.32,Chronic inflammatory pelvic disease,614-616.99,Female,1,1,11,genitourinary,black,INFLAMMATORY DISEASE OF FEMALE PELVIC ORGANS,423,211733
614.33,"Pelvic inflammatory disease, NOS",614-616.99,Female,1,1,11,genitourinary,black,INFLAMMATORY DISEASE OF FEMALE PELVIC ORGANS,352,211733
614.4,"Inflammatory diseases of uterus, except cervix",614-616.99,Female,1,1,11,genitourinary,black,INFLAMMATORY DISEASE OF FEMALE PELVIC ORGANS,278,211733
614.5,"Inflammatory disease of cervix, vagina, and vulva",614-616.99,Female,1,0,11,genitourinary,black,INFLAMMATORY DISEASE OF FEMALE PELVIC ORGANS,2862,211733
614.51,Cervicitis and endocervicitis,614-616.99,Female,1,1,11,genitourinary,black,INFLAMMATORY DISEASE OF FEMALE PELVIC ORGANS,1322,211733
614.52,Vaginitis and vulvovaginitis,614-616.99,Female,1,1,11,genitourinary,black,INFLAMMATORY DISEASE OF FEMALE PELVIC ORGANS,428,211733
614.53,Cyst or abscess of Bartholin's gland,614-616.99,Female,1,1,11,genitourinary,black,INFLAMMATORY DISEASE OF FEMALE PELVIC ORGANS,758,211733
614.54,Abscess or ulceration of vulva,614-616.99,Female,1,1,11,genitourinary,black,INFLAMMATORY DISEASE OF FEMALE PELVIC ORGANS,274,211733
615,Endometriosis,614-616.99,Female,1,1,11,genitourinary,black,INFLAMMATORY DISEASE OF FEMALE PELVIC ORGANS,4052,211733
617,"Disorders secondary to childbirth, surgery, trauma",617-618.99,Female,1,0,11,genitourinary,black, prolapse/fistula and other disorders often associated with childbirth,305,208705
618,Genital prolapse,617-618.99,Female,1,0,11,genitourinary,black, prolapse/fistula and other disorders often associated with childbirth,11963,208705
618.1,Prolapse of vaginal walls,617-618.99,Female,1,1,11,genitourinary,black, prolapse/fistula and other disorders often associated with childbirth,7460,208705
618.2,Uterine/Uterovaginal prolapse,617-618.99,Female,1,1,11,genitourinary,black, prolapse/fistula and other disorders often associated with childbirth,5428,208705
618.5,Prolapse of vaginal vault after hysterectomy,617-618.99,Female,1,1,11,genitourinary,black, prolapse/fistula and other disorders often associated with childbirth,513,208705
618.6,"Vaginal enterocele, congenital or acquired",617-618.99,Female,1,1,11,genitourinary,black, prolapse/fistula and other disorders often associated with childbirth,681,208705
619,Noninflammatory female genital disorders,619-619.99,Female,1,0,11,genitourinary,black, Other noninflammatory female genital disorders,9324,211609
619.1,"Noninflammatory disorders of ovary, fallopian tube, and broad ligament",619-619.99,Female,1,1,11,genitourinary,black, Other noninflammatory female genital disorders,730,211609
619.2,"Disorders of uterus, NEC",619-619.99,Female,1,1,11,genitourinary,black, Other noninflammatory female genital disorders,3336,211609
619.3,Noninflammatory disorders of cervix,619-619.99,Female,1,1,11,genitourinary,black, Other noninflammatory female genital disorders,2882,211609
